"","station","LATITUDE","LONGITUDE"
"1","14th & Harvard St NW",38.9268,-77.0322
"2","19th & L St NW",38.903407,-77.043648
"3","Lincoln Park / 13th & East Capitol St NE",38.890461,-76.988355
"4","14th & R St NW",38.912939,-77.032085
"5","Park Rd & Holmead Pl NW",38.9308,-77.0315
"6","4th St & Massachusetts Ave NW",38.900303,-77.016173
"7","37th & O St NW / Georgetown University",38.90774,-77.071652
"8","Lamont & Mt Pleasant NW",38.9319,-77.0388
"9","13th St & New York Ave NW",38.900283,-77.029822
"10","New York Ave & 15th St NW",38.8991,-77.0337
"11","Calvert St & Woodley Pl NW",38.923583,-77.050046
"12","14th & V St NW",38.9176,-77.0321
"13","17th & K St NW [formerly 17th & L St NW]",38.902777,-77.039437
"14","21st & I St NW",38.9008,-77.047
"15","21st & M St NW",38.90534,-77.046774
"16","11th & Kenyon St NW",38.929464,-77.027822
"17","14th & Rhode Island Ave NW",38.9086,-77.0323
"18","16th & U St NW",38.91724,-77.036513
"19","18th & M St NW",38.905067,-77.041779
"20","North Capitol St & F St NW",38.897446,-77.009888
"21","25th St & Pennsylvania Ave NW",38.903827,-77.053485
"22","Convention Center / 7th & M St NW",38.905737,-77.02227
"23","20th St & Florida Ave NW",38.9154,-77.0446
"24","Potomac & Pennsylvania Ave SE",38.8803,-76.9862
"25","Columbus Circle / Union Station",38.89696,-77.00493
"26","15th & P St NW",38.90985,-77.034438
"27","Eastern Market Metro / Pennsylvania Ave & 7th St SE",38.884,-76.995397
"28","3rd & D St SE",38.8851,-77.0023
"29","Adams Mill & Columbia Rd NW",38.922925,-77.042581
"30","14th & G St NW",38.898069,-77.031823
"31","Georgia & New Hampshire Ave NW",38.936043,-77.024649
"32","4th & East Capitol St NE",38.889955,-77.000349
"33","S Glebe & Potomac Ave",38.8426,-77.0502
"34","16th & Harvard St NW",38.926088,-77.036536
"35","Florida Ave & R St NW",38.9126,-77.0135
"36","Tenleytown / Wisconsin Ave & Albemarle St NW",38.947607,-77.079382
"37","4th & M St SW",38.8767,-77.0178
"38","Massachusetts Ave & Dupont Circle NW",38.9101,-77.0444
"39","14th & D St SE",38.884,-76.9861
"40","Van Ness Metro / UDC",38.944551,-77.063896
"41","7th & T St NW",38.9155,-77.0222
